------------------------------------------------------------------------------------------------------------------------------
           Observed  |             Ritz    |     Aki    | Acc. |                  Ei           Ek                  | Configurations  |    Terms   |Type|
          Wavelength |          Wavelength |     s^-1   |      |                 (eV)         (eV)                 |                 |            |    |
           Vac  (Å)  |           Vac  (Å)  |            |      |                                                   |                 |            |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------
                     |       3868.5687719  |  1.3592e 06| AAA  |    20.96408587426       -     24.1689970101       |  1s.2p - 1s.6s  |  3P* - 3S  |    |
                     |       3868.5802096  |  8.1551e 05| AAA  |    20.96409534981       -     24.1689970101       |  1s.2p - 1s.6s  |  3P* - 3S  |    |
                     |       3868.7280657  |  2.7184e 05| AAA  |    20.96421783567       -     24.1689970101       |  1s.2p - 1s.6s  |  3P* - 3S  |    |
                     |                     |            |      |                                                   |                 |            |    |
       3872.889      |       3872.8839497  |  1.3386e 06| AAA  |    21.2180216732        -     24.419361888242     |  1s.2p - 1s.9d  |  1P* - 1D  |    |
                     |       3879.2760644  |  5.1753e 05| AAA  |    21.2180216732        -     24.41408684884      |  1s.2p - 1s.9s  |  1P* - 1S  |    |
                     |       3889.7065852  |  9.4746e 06| AAA  |    19.81961358228       -     23.0071082852       |  1s.2s - 1s.3p  |  3S  - 3P* |    |
       3889.750      |       3889.7475336  |  9.4746e 06| AAA  |    19.81961358228       -     23.0070747295       |  1s.2s - 1s.3p  |  3S  - 3P* |    |
       3889.750      |       3889.7508585  |  9.4746e 06| AAA  |    19.81961358228       -     23.0070720049       |  1s.2s - 1s.3p  |  3S  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       3927.6561950  |  1.9371e 06| AAA  |    21.2180216732        -     24.374718318287     |  1s.2p - 1s.8d  |  1P* - 1D  |    |
       3937.026      |       3937.0594826  |  7.4475e 05| AAA  |    21.2180216732        -     24.36717885210      |  1s.2p - 1s.8s  |  1P* - 1S  |    |
       3965.8509     |       3965.8505980  |  6.9507e 06| AAA  |    20.6157738231        -     23.7420688828       |  1s.2s - 1s.4p  |  1S  - 1P* |    |
                     |       4010.3899118  |  2.9612e 06| AAA  |    21.2180216732        -     24.309596159181     |  1s.2p - 1s.7d  |  1P* - 1D  |    |
       4025.110      |       4025.1170382  |  1.1281e 06| AAA  |    21.2180216732        -     24.2982846847       |  1s.2p - 1s.7s  |  1P* - 1S  |    |
                     |                     |            |      |                                                   |                 |            |    |
       4027.3292     |       4027.3221970  |  3.2224e 05| AAA  |    20.96408587426       -     24.042662288855     |  1s.2p - 1s.5d  |  3P* - 3D  |    |
       4027.3292     |       4027.3237311  |  2.8999e 06| AAA  |    20.96408587426       -     24.042661116144     |  1s.2p - 1s.5d  |  3P* - 3D  |    |
       4027.3292     |       4027.3238351  |  1.1601e 07| AAA  |    20.96408587426       -     24.042661036653     |  1s.2p - 1s.5d  |  3P* - 3D  |    |
       4027.3292     |       4027.3345927  |  4.8336e 06| AAA  |    20.96409534981       -     24.042662288855     |  1s.2p - 1s.5d  |  3P* - 3D  |    |
       4027.3292     |       4027.3361268  |  8.6997e 06| AAA  |    20.96409534981       -     24.042661116144     |  1s.2p - 1s.5d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       4027.4948332  |  6.4448e 06| AAA  |    20.96421783567       -     24.042662288855     |  1s.2p - 1s.5d  |  3P* - 3D  |    |
       4121.9780     |       4121.9733574  |  2.4738e 06| AAA  |    20.96408587426       -     23.9719702176       |  1s.2p - 1s.5s  |  3P* - 3S  |    |
       4121.9780     |       4121.9863426  |  1.4843e 06| AAA  |    20.96409534981       -     23.9719702176       |  1s.2p - 1s.5s  |  3P* - 3S  |    |
                     |       4122.1542039  |  4.9476e 05| AAA  |    20.96421783567       -     23.9719702176       |  1s.2p - 1s.5s  |  3P* - 3S  |    |
       4144.930      |       4144.9276563  |  4.8812e 06| AAA  |    21.2180216732        -     24.209248578139     |  1s.2p - 1s.6d  |  1P* - 1D  |    |
                     |                     |            |      |                                                   |                 |            |    |
       4170.142      |       4170.1467198  |  1.8298e 06| AAA  |    21.2180216732        -     24.1911590606       |  1s.2p - 1s.6s  |  1P* - 1S  |    |
       4389.1624     |       4389.1619079  |  8.9889e 06| AAA  |    21.2180216732        -     24.042802206755     |  1s.2p - 1s.5d  |  1P* - 1D  |    |
       4438.797      |       4438.7992700  |  3.2689e 06| AAA  |    21.2180216732        -     24.0112137867       |  1s.2p - 1s.5s  |  1P* - 1S  |    |
       4472.7350     |       4472.7251730  |  6.8275e 05| AAA  |    20.96408587426       -     23.73609144900      |  1s.2p - 1s.4d  |  3P* - 3D  |    |
       4472.7350     |       4472.7288781  |  6.1440e 06| AAA  |    20.96408587426       -     23.73608915275      |  1s.2p - 1s.4d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
       4472.7350     |       4472.7291184  |  2.4579e 07| AAA  |    20.96408587426       -     23.73608900379      |  1s.2p - 1s.4d  |  3P* - 3D  |    |
       4472.7350     |       4472.7404621  |  1.0241e 07| AAA  |    20.96409534981       -     23.73609144900      |  1s.2p - 1s.4d  |  3P* - 3D  |    |
       4472.7350     |       4472.7441672  |  1.8432e 07| AAA  |    20.96409534981       -     23.73608915275      |  1s.2p - 1s.4d  |  3P* - 3D  |    |
                     |       4472.9381073  |  1.3655e 07| AAA  |    20.96421783567       -     23.73609144900      |  1s.2p - 1s.4d  |  3P* - 3D  |    |
       4714.4644     |       4714.457853   |  5.2894e 06| AAA  |    20.96408587426       -     23.5939575362       |  1s.2p - 1s.4s  |  3P* - 3S  |    |
                     |                     |            |      |                                                   |                 |            |    |
       4714.4644     |       4714.474838   |  3.1736e 06| AAA  |    20.96409534981       -     23.5939575362       |  1s.2p - 1s.4s  |  3P* - 3S  |    |
                     |       4714.694425   |  1.0579e 06| AAA  |    20.96421783567       -     23.5939575362       |  1s.2p - 1s.4s  |  3P* - 3S  |    |
       4923.3054     |       4923.3050694  |  1.9863e 07| AAA  |    21.2180216732        -     23.73633384917      |  1s.2p - 1s.4d  |  1P* - 1D  |    |
       5017.0773     |       5017.0769444  |  1.3372e 07| AAA  |    20.6157738231        -     23.0870173854       |  1s.2s - 1s.3p  |  1S  - 1P* |    |
       5049.145      |       5049.146030   |  6.7712e 06| AAA  |    21.2180216732        -     23.6735694086       |  1s.2p - 1s.4s  |  1P* - 1S  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       5876.0620386  |  4.310e 03 | AA   |    20.96408587426       -     23.07407365281      |  1s.2p - 1s.3d  |  3P* - 1D  |    |
                     |       5876.0884269  |  1.232e 04 | AA   |    20.96409534981       -     23.07407365281      |  1s.2p - 1s.3d  |  3P* - 1D  |    |
                     |       5877.2271785  |  1.9641e 06| AAA  |    20.96408587426       -     23.07365535507      |  1s.2p - 1s.3d  |  3P* - 3D  |    |
       5877.249      |       5877.2424464  |  1.7673e 07| AAA  |    20.96408587426       -     23.07364987482      |  1s.2p - 1s.3d  |  3P* - 3D  |    |
       5877.249      |       5877.2433142  |  7.0708e 07| AAA  |    20.96408587426       -     23.07364956332      |  1s.2p - 1s.3d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
       5877.249      |       5877.2535773  |  2.9462e 07| AAA  |    20.96409534981       -     23.07365535507      |  1s.2p - 1s.3d  |  3P* - 3D  |    |
       5877.249      |       5877.2688453  |  5.3019e 07| AAA  |    20.96409534981       -     23.07364987482      |  1s.2p - 1s.3d  |  3P* - 3D  |    |
                     |       5877.5948437  |  3.9282e 07| AAA  |    20.96421783567       -     23.07365535507      |  1s.2p - 1s.3d  |  3P* - 3D  |    |
       6679.995      |       6679.995612   |  6.3705e 07| AAA  |    21.2180216732        -     23.07407365281      |  1s.2p - 1s.3d  |  1P* - 1D  |    |
                     |       6681.521152   |  1.510e 04 | AA   |    21.2180216732        -     23.07364987482      |  1s.2p - 1s.3d  |  1P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
       7067.138      |       7067.12522    |  1.5474e 07| AAA  |    20.96408587426       -     22.718465298        |  1s.2p - 1s.3s  |  3P* - 3S  |    |
       7067.138      |       7067.16340    |  9.2844e 06| AAA  |    20.96409534981       -     22.718465298        |  1s.2p - 1s.3s  |  3P* - 3S  |    |
       7067.66       |       7067.65684    |  3.0948e 06| AAA  |    20.96421783567       -     22.718465298        |  1s.2p - 1s.3s  |  3P* - 3S  |    |
                     |       7162.52941    |  9.5686e 04| AAA  |    22.718465298         -     24.44947656095      |  1s.3s - 1s.10p |  3S  - 3P* |    |
                     |       7162.53285    |  9.5686e 04| AAA  |    22.718465298         -     24.44947572861      |  1s.3s - 1s.10p |  3S  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       7162.53313    |  9.5686e 04| AAA  |    22.718465298         -     24.44947566090      |  1s.3s - 1s.10p |  3S  - 3P* |    |
       7283.355      |       7283.357079   |  1.8299e 07| AAA  |    21.2180216732        -     22.920316225        |  1s.2p - 1s.3s  |  1P* - 1S  |    |
                     |       7300.04287    |  1.2913e 05| AAA  |    22.718465298         -     24.41686889570      |  1s.3s - 1s.9p  |  3S  - 3P* |    |
                     |       7300.04780    |  1.2913e 05| AAA  |    22.718465298         -     24.41686775032      |  1s.3s - 1s.9p  |  3S  - 3P* |    |
                     |       7300.04820    |  1.2913e 05| AAA  |    22.718465298         -     24.41686765711      |  1s.3s - 1s.9p  |  3S  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       7501.91240    |  1.7942e 05| AAA  |    22.718465298         -     24.37116642567      |  1s.3s - 1s.8p  |  3S  - 3P* |    |
                     |       7501.91983    |  1.7942e 05| AAA  |    22.718465298         -     24.37116478815      |  1s.3s - 1s.8p  |  3S  - 3P* |    |
                     |       7501.92043    |  1.7942e 05| AAA  |    22.718465298         -     24.37116465485      |  1s.3s - 1s.8p  |  3S  - 3P* |    |
                     |       7818.27529    |  2.5748e 05| AAA  |    22.718465298         -     24.30429063780      |  1s.3s - 1s.7p  |  3S  - 3P* |    |
                     |       7818.28742    |  2.5748e 05| AAA  |    22.718465298         -     24.30428817993      |  1s.3s - 1s.7p  |  3S  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       7818.28840    |  2.5748e 05| AAA  |    22.718465298         -     24.30428797980      |  1s.3s - 1s.7p  |  3S  - 3P* |    |
                     |       8096.339821   |  1.3791e 05| AAA  |    22.920316225         -     24.45167722834      |  1s.3s - 1s.10p |  1S  - 1P* |    |
                     |       8267.972612   |  1.8722e 05| AAA  |    22.920316225         -     24.41988808530      |  1s.3s - 1s.9p  |  1S  - 1P* |    |
                     |       8364.01143    |  3.8126e 05| AAA  |    22.718465298         -     24.20081849295      |  1s.3s - 1s.6p  |  3S  - 3P* |    |
                     |       8364.03363    |  3.8126e 05| AAA  |    22.718465298         -     24.20081455989      |  1s.3s - 1s.6p  |  3S  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       8364.03544    |  3.8126e 05| AAA  |    22.718465298         -     24.20081423942      |  1s.3s - 1s.6p  |  3S  - 3P* |    |
                     |       8520.376246   |  2.6252e 05| AAA  |    22.920316225         -     24.37546547115      |  1s.3s - 1s.8p  |  1S  - 1P* |    |
                     |       8584.969381   |  1.1647e 04| AAA  |    23.0070720049        -     24.451272737498     |  1s.3p - 1s.10d |  3P* - 3D  |    |
                     |       8584.970250   |  1.0481e 05| AAA  |    23.0070720049        -     24.451272591392     |  1s.3p - 1s.10d |  3P* - 3D  |    |
                     |       8584.970312   |  4.1928e 05| AAA  |    23.0070720049        -     24.451272580990     |  1s.3p - 1s.10d |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       8584.985578   |  1.7470e 05| AAA  |    23.0070747295        -     24.451272737498     |  1s.3p - 1s.10d |  3P* - 3D  |    |
                     |       8584.986446   |  3.1444e 05| AAA  |    23.0070747295        -     24.451272591392     |  1s.3p - 1s.10d |  3P* - 3D  |    |
                     |       8585.185053   |  2.3293e 05| AAA  |    23.0071082852        -     24.451272737498     |  1s.3p - 1s.10d |  3P* - 3D  |    |
                     |       8635.077984   |  1.5262e 05| AAA  |    23.0070720049        -     24.44289216681      |  1s.3p - 1s.10s |  3P* - 3S  |    |
                     |       8635.094370   |  9.1570e 04| AAA  |    23.0070747295        -     24.44289216681      |  1s.3p - 1s.10s |  3P* - 3S  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       8635.296180   |  3.0523e 04| AAA  |    23.0071082852        -     24.44289216681      |  1s.3p - 1s.10s |  3P* - 3S  |    |
                     |       8779.117669   |  1.6044e 04| AAA  |    23.0070720049        -     24.419334550736     |  1s.3p - 1s.9d  |  3P* - 3D  |    |
                     |       8779.118915   |  1.4439e 05| AAA  |    23.0070720049        -     24.419334350260     |  1s.3p - 1s.9d  |  3P* - 3D  |    |
                     |       8779.119003   |  5.7759e 05| AAA  |    23.0070720049        -     24.419334336036     |  1s.3p - 1s.9d  |  3P* - 3D  |    |
