------------------------------------------------------------------------------------------------------------------------------
           Observed  |             Ritz    |     Aki    | Acc. |                  Ei           Ek                  | Configurations  |    Terms   |Type|
          Wavelength |          Wavelength |     s^-1   |      |                 (eV)         (eV)                 |                 |            |    |
           Vac  (Å)  |           Vac  (Å)  |            |      |                                                   |                 |            |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------
                     |      51265.56454836 |  3.6871e 02| AAA  |    24.2094993414828     -     24.4513462647440    |  1s.6h - 1s.10g |  3H* - 3G  |    |
                     |      51265.57527333 |  1.8310e 03| AAA  |    24.2094910457995     -     24.4513379184654    |  1s.6g - 1s.10f |  3G  - 3F* |    |
                     |      51265.57745288 |  1.6586e 03| AAA  |    24.2094911676227     -     24.4513380300064    |  1s.6g - 1s.10f |  1G  - 1F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      51265.58291468 |  3.6411e 02| AAA  |    24.2094994709438     -     24.4513463075614    |  1s.6h - 1s.10g |  3H* - 3G  |    |
                     |      51265.59395328 |  7.226e 00 | AA   |    24.2094995884513     -     24.4513463729940    |  1s.6h - 1s.10g |  3H* - 1G  |    |
                     |      51265.59747913 |  8.9110e 01| AAA  |    24.2094910457995     -     24.4513378137089    |  1s.6g - 1s.10f |  3G  - 3F* |    |
                     |      51265.59955054 |  3.7656e 02| AAA  |    24.2094995884513     -     24.4513463465888    |  1s.6h - 1s.10g |  3H* - 3G  |    |
                     |      51265.61253956 |  3.6925e 02| AAA  |    24.2094996761326     -     24.4513463729940    |  1s.6h - 1s.10g |  1H* - 1G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      51265.61557445 |  4.277e 01 | AA   |    24.2094911676227     -     24.4513378501668    |  1s.6g - 1s.10f |  1G  - 3F* |    |
                     |      51265.61689964 |  7.8363e 00| AAA  |    24.2094995884513     -     24.4513462647440    |  1s.6h - 1s.10g |  3H* - 3G  |    |
                     |      51265.62330266 |  1.174e 02 | AA   |    24.2094911676227     -     24.4513378137089    |  1s.6g - 1s.10f |  1G  - 3F* |    |
                     |      51265.62640969 |  5.974e 00 | AA   |    24.2094996761326     -     24.4513463075614    |  1s.6h - 1s.10g |  1H* - 3G  |    |
                     |      51267.1886986  |  1.443e 03 | AA   |    24.2094536118806     -     24.4512928734042    |  1s.6f - 1s.10d |  3F* - 1D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      51267.3875984  |  4.0845e 03| AAA  |    24.2094545501337     -     24.4512928734042    |  1s.6f - 1s.10d |  1F* - 1D  |    |
                     |      51271.4886163  |  3.6620e 03| AAA  |    24.2094536118806     -     24.451272591392     |  1s.6f - 1s.10d |  3F* - 3D  |    |
                     |      51271.4908219  |  3.2334e 02| AAA  |    24.2094536118806     -     24.451272580990     |  1s.6f - 1s.10d |  3F* - 3D  |    |
                     |      51271.5330043  |  5.1141e 03| AAA  |    24.2094538108310     -     24.451272580990     |  1s.6f - 1s.10d |  3F* - 3D  |    |
                     |      51271.5668946  |  5.5687e 03| AAA  |    24.2094541271798     -     24.451272737498     |  1s.6f - 1s.10d |  3F* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      51271.5978725  |  6.1870e 02| AAA  |    24.2094541271798     -     24.451272591392     |  1s.6f - 1s.10d |  3F* - 3D  |    |
                     |      51271.6000781  |  1.2627e 01| AAA  |    24.2094541271798     -     24.451272580990     |  1s.6f - 1s.10d |  3F* - 3D  |    |
                     |      51271.6875495  |  1.288e 03 | AA   |    24.2094545501337     -     24.451272591392     |  1s.6f - 1s.10d |  1F* - 3D  |    |
                     |      51271.6897551  |  1.186e 02 | AA   |    24.2094545501337     -     24.451272580990     |  1s.6f - 1s.10d |  1F* - 3D  |    |
                     |      51592.591626   |  2.0848e 04| AAA  |    24.209162619267      -     24.44947656095      |  1s.6d - 1s.10p |  3D  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      51592.624814   |  1.5634e 04| AAA  |    24.209161941509      -     24.44947572861      |  1s.6d - 1s.10p |  3D  - 3P* |    |
                     |      51592.629274   |  1.7512e 04| AAA  |    24.209161894586      -     24.44947566090      |  1s.6d - 1s.10p |  3D  - 3P* |    |
                     |      51592.639348   |  3.1269e 03| AAA  |    24.209161941509      -     24.44947566090      |  1s.6d - 1s.10p |  3D  - 3P* |    |
                     |      51592.770321   |  5.2119e 03| AAA  |    24.209162619267      -     24.44947572861      |  1s.6d - 1s.10p |  3D  - 3P* |    |
                     |      51592.784856   |  2.0848e 02| AAA  |    24.209162619267      -     24.44947566090      |  1s.6d - 1s.10p |  3D  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      51597.42894    |  6.0761e 04| AAA  |    24.21100146141       -     24.4512928734042    |  1s.6p - 1s.10d |  1P* - 1D  |    |
                     |      51601.78444    |  4.490e 00 | AA   |    24.21100146141       -     24.451272591392     |  1s.6p - 1s.10d |  1P* - 3D  |    |
                     |      52434.06587    |  7.1005e 04| AAA  |    24.21100146141       -     24.44745878833      |  1s.6p - 1s.10s |  1P* - 1S  |    |
                     |      54177.4634     |  3.1456e 04| AAA  |    23.9719702176        -     24.20081849295      |  1s.5s - 1s.6p  |  3S  - 3P* |    |
                     |      54178.3945     |  3.1456e 04| AAA  |    23.9719702176        -     24.20081455989      |  1s.5s - 1s.6p  |  3S  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      54178.4704     |  3.1456e 04| AAA  |    23.9719702176        -     24.20081423942      |  1s.5s - 1s.6p  |  3S  - 3P* |    |
                     |      54205.70945    |  2.2206e 04| AAA  |    24.1911590606        -     24.41988808530      |  1s.6s - 1s.9p  |  1S  - 1P* |    |
                     |      56731.04837    |  4.024e 00 | AA   |    24.20081455989       -     24.419361888242     |  1s.6p - 1s.9d  |  3P* - 1D  |    |
                     |      56738.06238    |  2.0376e 03| AAA  |    24.20081423942       -     24.419334550736     |  1s.6p - 1s.9d  |  3P* - 3D  |    |
                     |      56738.11443    |  1.8337e 04| AAA  |    24.20081423942       -     24.419334350260     |  1s.6p - 1s.9d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      56738.11813    |  7.3354e 04| AAA  |    24.20081423942       -     24.419334336036     |  1s.6p - 1s.9d  |  3P* - 3D  |    |
                     |      56738.14559    |  3.0564e 04| AAA  |    24.20081455989       -     24.419334550736     |  1s.6p - 1s.9d  |  3P* - 3D  |    |
                     |      56738.19764    |  5.5012e 04| AAA  |    24.20081455989       -     24.419334350260     |  1s.6p - 1s.9d  |  3P* - 3D  |    |
                     |      56739.16682    |  4.0752e 04| AAA  |    24.20081849295       -     24.419334550736     |  1s.6p - 1s.9d  |  3P* - 3D  |    |
                     |      58860.843449   |  1.7374e 04| AAA  |    24.209248578139      -     24.41988808530      |  1s.6d - 1s.9p  |  1D  - 1P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      58966.574374   |  2.978e 03 | AA   |    24.209161894586      -     24.4194237113336    |  1s.6d - 1s.9f  |  3D  - 1F* |    |
                     |      58966.587533   |  2.294e 04 | AA   |    24.209161941509      -     24.4194237113336    |  1s.6d - 1s.9f  |  3D  - 1F* |    |
                     |      58966.616181   |  5.2411e 02| AAA  |    24.209161894586      -     24.4194235622586    |  1s.6d - 1s.9f  |  3D  - 3F* |    |
                     |      58966.629341   |  1.8342e 04| AAA  |    24.209161941509      -     24.4194235622586    |  1s.6d - 1s.9f  |  3D  - 3F* |    |
                     |      58966.642457   |  1.1792e 05| AAA  |    24.209161894586      -     24.4194234685641    |  1s.6d - 1s.9f  |  3D  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      58966.656801   |  1.0124e 04| AAA  |    24.209161894586      -     24.4194234174167    |  1s.6d - 1s.9f  |  3D  - 3F* |    |
                     |      58966.669961   |  8.1879e 04| AAA  |    24.209161941509      -     24.4194234174167    |  1s.6d - 1s.9f  |  3D  - 3F* |    |
                     |      58966.819414   |  9.9057e 04| AAA  |    24.209162619267      -     24.4194235622586    |  1s.6d - 1s.9f  |  3D  - 3F* |    |
                     |      58990.894245   |  9.1988e 04| AAA  |    24.209248578139      -     24.4194237113336    |  1s.6d - 1s.9f  |  1D  - 1F* |    |
                     |      58990.976740   |  2.592e 04 | AA   |    24.209248578139      -     24.4194234174167    |  1s.6d - 1s.9f  |  1D  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      59045.3020356  |  5.799e 03 | AA   |    24.2094536118806     -     24.4194350774306    |  1s.6f - 1s.9g  |  3F* - 1G  |    |
                     |      59045.3122153  |  8.5184e 03| AAA  |    24.2094536118806     -     24.4194350412286    |  1s.6f - 1s.9g  |  3F* - 3G  |    |
                     |      59045.3437900  |  1.3247e 05| AAA  |    24.2094536118806     -     24.4194349289402    |  1s.6f - 1s.9g  |  3F* - 3G  |    |
                     |      59045.3579791  |  4.346e 03 | AA   |    24.2094538108310     -     24.4194350774306    |  1s.6f - 1s.9g  |  3F* - 1G  |    |
                     |      59045.3681588  |  1.8482e 02| AAA  |    24.2094538108310     -     24.4194350412286    |  1s.6f - 1s.9g  |  3F* - 3G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      59045.3832130  |  1.4490e 05| AAA  |    24.2094538108310     -     24.4194349876919    |  1s.6f - 1s.9g  |  3F* - 3G  |    |
                     |      59045.3997336  |  4.7104e 03| AAA  |    24.2094538108310     -     24.4194349289402    |  1s.6f - 1s.9g  |  3F* - 3G  |    |
                     |      59045.4571142  |  1.3307e 05| AAA  |    24.2094541271798     -     24.4194350412286    |  1s.6f - 1s.9g  |  3F* - 3G  |    |
                     |      59045.5658669  |  1.3475e 05| AAA  |    24.2094545501337     -     24.4194350774306    |  1s.6f - 1s.9g  |  1F* - 1G  |    |
                     |      59045.5760467  |  3.125e 03 | AA   |    24.2094545501337     -     24.4194350412286    |  1s.6f - 1s.9g  |  1F* - 3G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      59045.6076217  |  7.714e 03 | AA   |    24.2094545501337     -     24.4194349289402    |  1s.6f - 1s.9g  |  1F* - 3G  |    |
                     |      59054.95538858 |  5.097e 00 | AA   |    24.2094906664828     -     24.4194378076445    |  1s.6g - 1s.9h  |  3G  - 1H* |    |
                     |      59054.96269660 |  3.6992e 03| AAA  |    24.2094906664828     -     24.4194377816637    |  1s.6g - 1s.9h  |  3G  - 3H* |    |
                     |      59054.98327942 |  1.2171e 05| AAA  |    24.2094906664828     -     24.4194377084895    |  1s.6g - 1s.9h  |  3G  - 3H* |    |
                     |      59055.01125313 |  2.824e 03 | AA   |    24.2094908650874     -     24.4194378076445    |  1s.6g - 1s.9h  |  3G  - 1H* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      59055.01856116 |  7.1930e 01| AAA  |    24.2094908650874     -     24.4194377816637    |  1s.6g - 1s.9h  |  3G  - 3H* |    |
                     |      59055.02835417 |  1.4566e 05| AAA  |    24.2094908650874     -     24.4194377468484    |  1s.6g - 1s.9h  |  3G  - 3H* |    |
                     |      59055.03914401 |  2.5617e 03| AAA  |    24.2094908650874     -     24.4194377084895    |  1s.6g - 1s.9h  |  3G  - 3H* |    |
                     |      59055.06939290 |  1.3847e 05| AAA  |    24.2094910457995     -     24.4194377816637    |  1s.6g - 1s.9h  |  3G  - 3H* |    |
                     |      59055.09635200 |  1.4283e 05| AAA  |    24.2094911676227     -     24.4194378076445    |  1s.6g - 1s.9h  |  1G  - 1H* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      59055.10366005 |  3.422e 03 | AA   |    24.2094911676227     -     24.4194377816637    |  1s.6g - 1s.9h  |  1G  - 3H* |    |
                     |      59055.12424296 |  2.969e 01 | AA   |    24.2094911676227     -     24.4194377084895    |  1s.6g - 1s.9h  |  1G  - 3H* |    |
                     |      59057.15304626 |  2.089e 00 | AA   |    24.2094993414828     -     24.4194386700101    |  1s.6h - 1s.9i  |  3H* - 1I  |    |
                     |      59057.15852534 |  1.6372e 03| AAA  |    24.2094993414828     -     24.4194386505328    |  1s.6h - 1s.9i  |  3H* - 3I  |    |
                     |      59057.17299015 |  9.5406e 04| AAA  |    24.2094993414828     -     24.4194385991127    |  1s.6h - 1s.9i  |  3H* - 3I  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      59057.18946444 |  1.310e 03 | AA   |    24.2094994709438     -     24.4194386700101    |  1s.6h - 1s.9i  |  3H* - 1I  |    |
                     |      59057.19494352 |  2.2221e 01| AAA  |    24.2094994709438     -     24.4194386505328    |  1s.6h - 1s.9i  |  3H* - 3I  |    |
                     |      59057.20183986 |  9.6793e 04| AAA  |    24.2094994709438     -     24.4194386260174    |  1s.6h - 1s.9i  |  3H* - 3I  |    |
                     |      59057.20940835 |  1.3790e 03| AAA  |    24.2094994709438     -     24.4194385991127    |  1s.6h - 1s.9i  |  3H* - 3I  |    |
                     |      59057.22799913 |  9.3593e 04| AAA  |    24.2094995884513     -     24.4194386505328    |  1s.6h - 1s.9i  |  3H* - 3I  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      59057.24718535 |  9.5481e 04| AAA  |    24.2094996761326     -     24.4194386700101    |  1s.6h - 1s.9i  |  1H* - 1I  |    |
                     |      59057.25266444 |  1.540e 03 | AA   |    24.2094996761326     -     24.4194386505328    |  1s.6h - 1s.9i  |  1H* - 3I  |    |
                     |      59057.26712930 |  8.436e 00 | AA   |    24.2094996761326     -     24.4194385991127    |  1s.6h - 1s.9i  |  1H* - 3I  |    |
                     |      59058.18892197 |  1.0975e 01| AAA  |    24.2094993414828     -     24.4194349876919    |  1s.6h - 1s.9g  |  3H* - 3G  |    |
                     |      59058.20544972 |  6.3726e 02| AAA  |    24.2094993414828     -     24.4194349289402    |  1s.6h - 1s.9g  |  3H* - 3G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      59058.22534142 |  6.2931e 02| AAA  |    24.2094994709438     -     24.4194349876919    |  1s.6h - 1s.9g  |  3H* - 3G  |    |
                     |      59058.23315320 |  1.249e 01 | AA   |    24.2094995884513     -     24.4194350774306    |  1s.6h - 1s.9g  |  3H* - 1G  |    |
                     |      59058.24333741 |  6.5082e 02| AAA  |    24.2094995884513     -     24.4194350412286    |  1s.6h - 1s.9g  |  3H* - 3G  |    |
                     |      59058.25781935 |  6.3818e 02| AAA  |    24.2094996761326     -     24.4194350774306    |  1s.6h - 1s.9g  |  1H* - 1G  |    |
                     |      59058.27492598 |  1.3541e 01| AAA  |    24.2094995884513     -     24.4194349289402    |  1s.6h - 1s.9g  |  3H* - 3G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      59058.28306436 |  1.033e 01 | AA   |    24.2094996761326     -     24.4194349876919    |  1s.6h - 1s.9g  |  1H* - 3G  |    |
                     |      59058.9207339  |  2.246e 02 | AA   |    24.2094906664828     -     24.4194237113336    |  1s.6g - 1s.9f  |  3G  - 1F* |    |
                     |      59058.9890305  |  7.4123e 01| AAA  |    24.2094906664828     -     24.4194234685641    |  1s.6g - 1s.9f  |  3G  - 3F* |    |
                     |      59059.0034195  |  2.6153e 03| AAA  |    24.2094906664828     -     24.4194234174167    |  1s.6g - 1s.9f  |  3G  - 3F* |    |
                     |      59059.0274445  |  4.170e 01 | AA   |    24.2094910457995     -     24.4194237113336    |  1s.6g - 1s.9f  |  3G  - 1F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      59059.0449027  |  2.7904e 03| AAA  |    24.2094908650874     -     24.4194234685641    |  1s.6g - 1s.9f  |  3G  - 3F* |    |
                     |      59059.0617162  |  2.6689e 03| AAA  |    24.2094911676227     -     24.4194237113336    |  1s.6g - 1s.9f  |  1G  - 1F* |    |
                     |      59059.0693828  |  2.9353e 03| AAA  |    24.2094910457995     -     24.4194235622586    |  1s.6g - 1s.9f  |  3G  - 3F* |    |
                     |      59059.0957413  |  2.2649e 00| AAA  |    24.2094910457995     -     24.4194234685641    |  1s.6g - 1s.9f  |  3G  - 3F* |    |
                     |      59059.1101304  |  1.4176e 02| AAA  |    24.2094910457995     -     24.4194234174167    |  1s.6g - 1s.9f  |  3G  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      59059.1300132  |  6.857e 01 | AA   |    24.2094911676227     -     24.4194234685641    |  1s.6g - 1s.9f  |  1G  - 3F* |    |
                     |      59059.1444022  |  1.782e 02 | AA   |    24.2094911676227     -     24.4194234174167    |  1s.6g - 1s.9f  |  1G  - 3F* |    |
                     |      59065.8894933  |  2.190e 03 | AA   |    24.2094536118806     -     24.419361888242     |  1s.6f - 1s.9d  |  3F* - 1D  |    |
                     |      59066.1535086  |  6.2019e 03| AAA  |    24.2094545501337     -     24.419361888242     |  1s.6f - 1s.9d  |  1F* - 1D  |    |
                     |      59073.6393967  |  5.5595e 03| AAA  |    24.2094536118806     -     24.419334350260     |  1s.6f - 1s.9d  |  3F* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      59073.6433998  |  4.9083e 02| AAA  |    24.2094536118806     -     24.419334336036     |  1s.6f - 1s.9d  |  3F* - 3D  |    |
                     |      59073.6993970  |  7.7633e 03| AAA  |    24.2094538108310     -     24.419334336036     |  1s.6f - 1s.9d  |  3F* - 3D  |    |
                     |      59073.7280077  |  8.4534e 03| AAA  |    24.2094541271798     -     24.419334550736     |  1s.6f - 1s.9d  |  3F* - 3D  |    |
                     |      59073.7844346  |  9.3919e 02| AAA  |    24.2094541271798     -     24.419334350260     |  1s.6f - 1s.9d  |  3F* - 3D  |    |
                     |      59073.7884378  |  1.9169e 01| AAA  |    24.2094541271798     -     24.419334336036     |  1s.6f - 1s.9d  |  3F* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      59073.9034813  |  1.955e 03 | AA   |    24.2094545501337     -     24.419334350260     |  1s.6f - 1s.9d  |  1F* - 3D  |    |
                     |      59073.9074844  |  1.801e 02 | AA   |    24.2094545501337     -     24.419334336036     |  1s.6f - 1s.9d  |  1F* - 3D  |    |
                     |      59504.67296    |  8.4180e 04| AAA  |    24.21100146141       -     24.419361888242     |  1s.6p - 1s.9d  |  1P* - 1D  |    |
                     |      59512.53844    |  6.359e 00 | AA   |    24.21100146141       -     24.419334350260     |  1s.6p - 1s.9d  |  1P* - 3D  |    |
                     |      59692.077044   |  3.0467e 04| AAA  |    24.209162619267      -     24.41686889570      |  1s.6d - 1s.9p  |  3D  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      59692.211431   |  2.2849e 04| AAA  |    24.209161941509      -     24.41686775032      |  1s.6d - 1s.9p  |  3D  - 3P* |    |
                     |      59692.224735   |  2.5593e 04| AAA  |    24.209161894586      -     24.41686765711      |  1s.6d - 1s.9p  |  3D  - 3P* |    |
                     |      59692.238220   |  4.5697e 03| AAA  |    24.209161941509      -     24.41686765711      |  1s.6d - 1s.9p  |  3D  - 3P* |    |
                     |      59692.406211   |  7.6169e 03| AAA  |    24.209162619267      -     24.41686775032      |  1s.6d - 1s.9p  |  3D  - 3P* |    |
                     |      59692.433001   |  3.0467e 02| AAA  |    24.209162619267      -     24.41686765711      |  1s.6d - 1s.9p  |  3D  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      59717.120171   |  1.983e 00 | AA   |    24.209248578139      -     24.41686775032      |  1s.6d - 1s.9p  |  1D  - 3P* |    |
                     |      59907.34615    |  6.7155e 04| AAA  |    24.20081423942       -     24.40777415089      |  1s.6p - 1s.9s  |  3P* - 3S  |    |
                     |      59907.43891    |  4.0293e 04| AAA  |    24.20081455989       -     24.40777415089      |  1s.6p - 1s.9s  |  3P* - 3S  |    |
                     |      59908.57741    |  1.3431e 04| AAA  |    24.20081849295       -     24.40777415089      |  1s.6p - 1s.9s  |  3P* - 3S  |    |
                     |      61050.27650    |  1.0218e 05| AAA  |    24.21100146141       -     24.41408684884      |  1s.6p - 1s.9s  |  1P* - 1S  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      61326.8779     |  1.2413e 04| AAA  |    24.1689970101        -     24.37116642567      |  1s.6s - 1s.8p  |  3S  - 3P* |    |
                     |      61327.3746     |  1.2413e 04| AAA  |    24.1689970101        -     24.37116478815      |  1s.6s - 1s.8p  |  3S  - 3P* |    |
                     |      61327.4150     |  1.2413e 04| AAA  |    24.1689970101        -     24.37116465485      |  1s.6s - 1s.8p  |  3S  - 3P* |    |
                     |      62057.9777     |  8.8145e 04| AAA  |    24.0112137867        -     24.21100146141      |  1s.5s - 1s.6p  |  1S  - 1P* |    |
                     |      67270.6881     |  2.8896e 04| AAA  |    24.1911590606        -     24.37546547115      |  1s.6s - 1s.8p  |  1S  - 1P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      68490.19936    |  8.322e 00 | AA   |    24.0282238597        -     24.209248578139     |  1s.5p - 1s.6d  |  3P* - 1D  |    |
                     |      68490.41153    |  2.304e 01 | AA   |    24.0282244205        -     24.209248578139     |  1s.5p - 1s.6d  |  3P* - 1D  |    |
                     |      68522.73711    |  1.0169e 04| AAA  |    24.0282238597        -     24.209162619267     |  1s.5p - 1s.6d  |  3P* - 3D  |    |
                     |      68522.94949    |  1.5253e 05| AAA  |    24.0282244205        -     24.209162619267     |  1s.5p - 1s.6d  |  3P* - 3D  |    |
                     |      68522.99378    |  9.1512e 04| AAA  |    24.0282238597        -     24.209161941509     |  1s.5p - 1s.6d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      68523.01155    |  3.6608e 05| AAA  |    24.0282238597        -     24.209161894586     |  1s.5p - 1s.6d  |  3P* - 3D  |    |
                     |      68523.20616    |  2.7454e 05| AAA  |    24.0282244205        -     24.209161941509     |  1s.5p - 1s.6d  |  3P* - 3D  |    |
                     |      68525.55295    |  2.0338e 05| AAA  |    24.0282312948        -     24.209162619267     |  1s.5p - 1s.6d  |  3P* - 3D  |    |
                     |      71294.58455    |  2.047e 00 | AA   |    24.20081423942       -     24.374718318287     |  1s.6p - 1s.8d  |  3P* - 1D  |    |
                     |      71294.71594    |  5.685e 00 | AA   |    24.20081455989       -     24.374718318287     |  1s.6p - 1s.8d  |  3P* - 1D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      71310.31377    |  2.8002e 03| AAA  |    24.20081423942       -     24.374679959533     |  1s.6p - 1s.8d  |  3P* - 3D  |    |
                     |      71310.43089    |  2.5200e 04| AAA  |    24.20081423942       -     24.374679673987     |  1s.6p - 1s.8d  |  3P* - 3D  |    |
                     |      71310.43915    |  1.0081e 05| AAA  |    24.20081423942       -     24.374679653829     |  1s.6p - 1s.8d  |  3P* - 3D  |    |
                     |      71310.44521    |  4.2004e 04| AAA  |    24.20081455989       -     24.374679959533     |  1s.6p - 1s.8d  |  3P* - 3D  |    |
                     |      71310.56233    |  7.5601e 04| AAA  |    24.20081455989       -     24.374679673987     |  1s.6p - 1s.8d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      71312.05838    |  5.6005e 04| AAA  |    24.20081849295       -     24.374679959533     |  1s.6p - 1s.8d  |  3P* - 3D  |    |
                     |      73650.90665    |  8.075e 00 | AA   |    24.042661116144      -     24.21100146141      |  1s.5d - 1s.6p  |  3D  - 1P* |    |
                     |      73712.68725    |  8.3990e 04| AAA  |    24.042802206755      -     24.21100146141      |  1s.5d - 1s.6p  |  1D  - 1P* |    |
                     |      74333.940191   |  2.153e 04 | AA   |    24.042661036653      -     24.2094545501337    |  1s.5d - 1s.6f  |  3D  - 1F* |    |
                     |      74333.975617   |  1.662e 05 | AA   |    24.042661116144      -     24.2094545501337    |  1s.5d - 1s.6f  |  3D  - 1F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      74334.128687   |  3.2085e 03| AAA  |    24.042661036653      -     24.2094541271798    |  1s.5d - 1s.6f  |  3D  - 3F* |    |
                     |      74334.164114   |  1.1229e 05| AAA  |    24.042661116144      -     24.2094541271798    |  1s.5d - 1s.6f  |  3D  - 3F* |    |
                     |      74334.269673   |  7.2192e 05| AAA  |    24.042661036653      -     24.2094538108310    |  1s.5d - 1s.6f  |  3D  - 3F* |    |
                     |      74334.358339   |  5.8684e 04| AAA  |    24.042661036653      -     24.2094536118806    |  1s.5d - 1s.6f  |  3D  - 3F* |    |
                     |      74334.393766   |  4.7555e 05| AAA  |    24.042661116144      -     24.2094536118806    |  1s.5d - 1s.6f  |  3D  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      74334.686755   |  6.0641e 05| AAA  |    24.042662288855      -     24.2094541271798    |  1s.5d - 1s.6f  |  3D  - 3F* |    |
                     |      74375.1215     |  2.5165e 05| AAA  |    22.920316225         -     23.0870173854       |  1s.3s - 1s.3p  |  1S  - 1P* |    |
                     |      74396.907982   |  5.3465e 05| AAA  |    24.042802206755      -     24.2094545501337    |  1s.5d - 1s.6f  |  1D  - 1F* |    |
                     |      74397.096797   |  1.146e 01 | AA   |    24.042802206755      -     24.2094541271798    |  1s.5d - 1s.6f  |  1D  - 3F* |    |
                     |      74397.326839   |  1.879e 05 | AA   |    24.042802206755      -     24.2094536118806    |  1s.5d - 1s.6f  |  1D  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      74537.3729892  |  2.984e 04 | AA   |    24.043152879083      -     24.2094911676227    |  1s.5f - 1s.6g  |  3F* - 1G  |    |
                     |      74537.4275791  |  6.2021e 04| AAA  |    24.043152879083      -     24.2094910457995    |  1s.5f - 1s.6g  |  3F* - 3G  |    |
                     |      74537.5440179  |  3.323e 04 | AA   |    24.043153260751      -     24.2094911676227    |  1s.5f - 1s.6g  |  3F* - 1G  |    |
                     |      74537.5975543  |  1.0284e 06| AAA  |    24.043152879083      -     24.2094906664828    |  1s.5f - 1s.6g  |  3F* - 3G  |    |
                     |      74537.5986080  |  1.4113e 03| AAA  |    24.043153260751      -     24.2094910457995    |  1s.5f - 1s.6g  |  3F* - 3G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      74537.6795870  |  1.1064e 06| AAA  |    24.043153260751      -     24.2094908650874    |  1s.5f - 1s.6g  |  3F* - 3G  |    |
                     |      74537.7685840  |  3.5923e 04| AAA  |    24.043153260751      -     24.2094906664828    |  1s.5f - 1s.6g  |  3F* - 3G  |    |
                     |      74537.8436415  |  1.0161e 06| AAA  |    24.043153807565      -     24.2094910457995    |  1s.5f - 1s.6g  |  3F* - 3G  |    |
                     |      74538.0739585  |  1.0434e 06| AAA  |    24.043154443358      -     24.2094911676227    |  1s.5f - 1s.6g  |  1F* - 1G  |    |
                     |      74538.1285494  |  2.689e 04 | AA   |    24.043154443358      -     24.2094910457995    |  1s.5f - 1s.6g  |  1F* - 3G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      74538.2985278  |  4.216e 04 | AA   |    24.043154443358      -     24.2094906664828    |  1s.5f - 1s.6g  |  1F* - 3G  |    |
                     |      74552.95195    |  2.306e 00 | AA   |    24.209161941509      -     24.37546547115      |  1s.6d - 1s.8p  |  3D  - 1P* |    |
                     |      74561.1627440  |  6.517e 01 | AA   |    24.0432144600900     -     24.2094996761326    |  1s.5g - 1s.6h  |  3G  - 1H* |    |
                     |      74561.2020597  |  4.1770e 04| AAA  |    24.0432144600900     -     24.2094995884513    |  1s.5g - 1s.6h  |  3G  - 3H* |    |
                     |      74561.3127990  |  1.6117e 06| AAA  |    24.0432144600900     -     24.2094993414828    |  1s.5g - 1s.6h  |  3G  - 3H* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      74561.3167679  |  3.191e 04 | AA   |    24.0432148035911     -     24.2094996761326    |  1s.5g - 1s.6h  |  3G  - 1H* |    |
